1907-03-13 359_21 001_46 331_55 320_15 252_35 071_40 329_13 260_07 077_25 059_25 095_49 0.97 12.75 F000.90 F001.17 F000.43 F000.12 F000.13 F000.00 F000.00 F000.00 359.95
1907-03-14 000_19 014_31 332_49 321_25 253_01 071_47 329_21 260_07 077_25 059_25 095_46 1.00 12.48 F000.98 F001.20 F000.45 F000.13 F000.08 F000.02 F000.00 F000.03 359.95
1907-03-15 001_19 027_00 333_48 322_37 253_28 071_55 329_26 260_08 077_25 059_27 095_43 0.97 12.27 F001.00 F001.18 F000.40 F000.15 F000.13 F000.00 F000.03 F000.00 359.95
1907-03-16 002_17 039_16 334_48 323_48 253_52 072_04 329_34 260_08 077_27 059_27 095_40 0.98 12.05 F001.05 F001.17 F000.45 F000.13 F000.10 F000.00 F000.02 F000.02 359.95
1907-03-17 003_16 051_19 335_51 324_58 254_19 072_12 329_40 260_08 077_28 059_28 095_37 0.98 11.90 F001.07 F001.17 F000.40 F000.13 F000.10 B000.00 F000.00 F000.00 359.95
1907-03-18 004_15 063_13 336_55 326_08 254_43 072_20 329_46 260_08 077_28 059_28 095_34 0.97 11.80 F001.15 F001.18 F000.40 F000.17 F000.12 R000.00 F000.00 F000.03 359.95
1907-03-19 005_13 075_01 338_04 327_19 255_07 072_30 329_53 260_08 077_28 059_30 095_31 0.98 11.80 F001.15 F001.20 F000.43 F000.12 F000.12 R000.00 F000.03 F000.02 359.95
1907-03-20 006_12 086_49 339_13 328_31 255_33 072_37 330_00 260_08 077_30 059_31 095_28 0.97 11.90 F001.22 F001.17 F000.38 F000.15 F000.12 R000.00 F000.02 F000.00 359.95
1907-03-21 007_10 098_43 340_26 329_41 255_56 072_46 330_07 260_08 077_31 059_31 095_25 0.98 12.05 F001.25 F001.18 F000.42 F000.15 F000.10 R359.98 F000.00 F000.02 359.92
1907-03-22 008_09 110_46 341_41 330_52 256_21 072_55 330_13 260_07 077_31 059_32 095_20 0.97 12.32 F001.32 F001.20 F000.37 F000.15 F000.10 R000.00 F000.02 F000.03 359.95
1907-03-23 009_07 123_05 343_00 332_04 256_43 073_04 330_19 260_07 077_32 059_34 095_17 0.97 12.68 F001.32 F001.18 F000.40 F000.15 F000.10 R000.00 F000.03 F000.00 359.97
1907-03-24 010_05 135_46 344_19 333_15 257_07 073_13 330_25 260_07 077_34 059_34 095_15 0.98 13.05 F001.35 F001.18 F000.38 F000.15 F000.10 R000.00 F000.02 F000.03 359.95
1907-03-25 011_04 148_49 345_40 334_26 257_30 073_22 330_31 260_07 077_35 059_36 095_12 0.98 13.52 F001.40 F001.18 F000.37 F000.17 F000.10 R000.00 F000.03 F000.02 359.95
1907-03-26 012_03 162_20 347_04 335_37 257_52 073_32 330_37 260_07 077_37 059_37 095_09 0.97 13.93 F001.40 F001.20 F000.38 F000.17 F000.10 R000.00 F000.00 F000.00 359.93
1907-03-27 013_01 176_16 348_28 336_49 258_15 073_42 330_43 260_07 077_37 059_37 095_05 0.98 14.30 F001.47 F001.18 F000.37 F000.17 F000.10 R359.98 F000.03 F000.02 359.93
1907-03-28 014_00 190_34 349_56 338_00 258_37 073_52 330_49 260_06 077_39 059_38 095_01 0.97 14.58 F001.48 F001.18 F000.35 F000.15 F000.10 R000.00 F000.02 F000.03 359.95
1907-03-29 014_58 205_09 351_25 339_11 258_58 074_01 330_55 260_06 077_40 059_40 094_58 0.95 14.72 F001.55 F001.18 F000.35 F000.15 F000.10 R359.97 F000.00 F000.00 359.95
1907-03-30 015_55 219_52 352_58 340_22 259_19 074_10 331_01 260_04 077_40 059_40 094_55 0.97 14.75 F001.55 F001.20 F000.35 F000.17 F000.10 R000.00 F000.05 F000.03 359.95
1907-04-01 016_53 234_37 354_31 341_34 259_40 074_20 331_07 260_04 077_43 059_42 094_52 0.98 14.65 F001.58 F001.20 F000.33 F000.18 F000.10 R000.00 F000.00 F000.02 359.95
1907-04-02 017_52 249_16 356_06 342_46 260_00 074_31 331_13 260_04 077_43 059_43 094_49 0.98 14.45 F001.62 F001.17 F000.32 F000.15 F000.10 R359.98 F000.03 F000.00 359.95
1907-04-03 018_51 263_43 357_43 343_56 260_19 074_40 331_19 260_03 077_45 059_43 094_46 0.97 14.22 F001.65 F001.20 F000.35 F000.20 F000.10 R359.97 F000.02 F000.03 359.95
1907-04-04 019_49 277_56 359_22 345_08 260_40 074_52 331_25 260_01 077_46 059_45 094_43 0.95 13.98 F001.68 F001.18 F000.30 F000.15 F000.10 R000.00 F000.02 F000.02 359.95
1907-04-05 020_46 291_55 001_03 346_19 260_58 075_01 331_31 260_01 077_47 059_46 094_40 0.98 13.70 F001.72 F001.20 F000.30 F000.18 F000.10 R000.00 F000.03 F000.02 359.95
1907-04-06 021_45 305_37 002_46 347_31 261_16 075_12 331_37 260_01 077_49 059_47 094_37 0.97 13.48 F001.73 F001.20 F000.33 F000.17 F000.07 R359.98 F000.02 F000.03 359.95
1907-04-07 022_43 319_06 004_30 348_43 261_36 075_22 331_41 260_00 077_50 059_49 094_34 0.95 13.22 F001.77 F001.20 F000.27 F000.17 F000.12 R359.97 F000.03 F000.00 359.95
1907-04-08 023_40 332_19 006_16 349_55 261_52 075_32 331_48 259_58 077_52 059_49 094_31 0.97 13.05 F001.80 F001.20 F000.30 F000.18 F000.07 R000.00 F000.03 F000.03 359.93
1907-04-09 024_38 345_22 008_04 351_07 262_10 075_43 331_52 259_58 077_54 059_51 094_27 0.98 12.82 F001.85 F001.18 F000.27 F000.20 F000.10 R359.97 F000.02 F000.02 359.95
1907-04-10 025_37 358_11 009_55 352_18 262_26 075_55 331_58 259_56 077_55 059_52 094_24 0.95 12.65 F001.88 F001.20 F000.28 F000.17 F000.10 R359.98 F000.03 F000.00 359.93
1907-04-11 026_34 010_50 011_48 353_30 262_43 076_05 332_04 259_55 077_57 059_52 094_20 0.98 12.47 F001.88 F001.18 F000.25 F000.18 F000.07 R000.00 F000.02 F000.05 359.95
1907-04-12 027_33 023_18 013_41 354_41 262_58 076_16 332_08 259_55 077_58 059_55 094_17 0.97 12.27 F001.93 F001.18 F000.28 F000.20 F000.12 R359.95 F000.03 F000.00 359.97
1907-04-13 028_31 035_34 015_37 355_52 263_15 076_28 332_15 259_52 078_00 059_55 094_15 0.95 12.10 F001.98 F001.20 F000.22 F000.18 F000.07 R000.00 F000.02 F000.03 359.95
1907-04-14 029_28 047_40 017_36 357_04 263_28 076_39 332_19 259_52 078_01 059_57 094_12 0.97 11.95 F001.97 F001.20 F000.25 F000.17 F000.10 R359.98 F000.02 F000.02 359.92
1907-04-15 030_26 059_37 019_34 358_16 263_43 076_49 332_25 259_51 078_02 059_58 094_07 0.98 11.83 F002.05 F001.20 F000.22 F000.20 F000.08 R359.97 F000.03 F000.03 359.95
