2003-03-10 355_49 085_58 013_31 322_01 268_48 104_13 060_10 307_36 288_55 235_58 037_52 0.98 12.90 F001.50 F001.20 F000.62 F000.00 F000.10 F000.02 F000.02 R359.97 359.95
2003-03-11 356_48 098_52 015_01 323_13 269_25 104_13 060_16 307_37 288_56 235_56 037_49 0.97 13.33 F001.42 F001.20 F000.60 F000.05 F000.08 F000.05 F000.03 R000.00 359.95
2003-03-12 357_46 112_12 016_26 324_25 270_01 104_16 060_21 307_40 288_58 235_56 037_46 1.00 13.82 F001.33 F001.20 F000.60 F000.00 F000.07 F000.05 F000.03 R359.98 359.95
2003-03-13 358_46 126_01 017_46 325_37 270_37 104_16 060_25 307_43 289_00 235_55 037_43 0.95 14.30 F001.25 F001.20 F000.63 F000.05 F000.10 F000.05 F000.02 R000.00 359.95
2003-03-14 359_43 140_19 019_01 326_49 271_15 104_19 060_31 307_46 289_01 235_55 037_40 1.00 14.70 F001.17 F001.20 F000.62 F000.02 F000.08 F000.03 F000.00 R000.00 359.95
2003-03-15 000_43 155_01 020_11 328_01 271_52 104_20 060_36 307_48 289_01 235_55 037_37 0.98 15.05 F001.08 F001.23 F000.60 F000.03 F000.07 F000.05 F000.03 R359.98 359.95
2003-03-16 001_42 170_04 021_16 329_15 272_28 104_22 060_40 307_51 289_03 235_54 037_34 0.97 15.20 F000.98 F001.18 F000.60 F000.05 F000.10 F000.02 F000.02 R359.97 359.95
2003-03-17 002_40 185_16 022_15 330_26 273_04 104_25 060_46 307_52 289_04 235_52 037_31 0.97 15.23 F000.87 F001.20 F000.60 F000.05 F000.10 F000.05 F000.00 R000.00 359.95
2003-03-18 003_38 200_30 023_07 331_38 273_40 104_28 060_52 307_55 289_04 235_52 037_28 0.98 15.05 F000.80 F001.23 F000.63 F000.03 F000.08 F000.02 F000.00 R359.97 359.95
2003-03-19 004_37 215_33 023_55 332_52 274_18 104_30 060_57 307_56 289_04 235_50 037_25 1.00 14.77 F000.68 F001.20 F000.58 F000.03 F000.07 F000.07 F000.03 R000.00 359.93
2003-03-20 005_37 230_19 024_36 334_04 274_53 104_32 061_01 308_00 289_06 235_50 037_21 0.95 14.40 F000.57 F001.20 F000.62 F000.05 F000.10 F000.02 F000.02 R359.98 359.93
