2067-02-05 319_41 184_03 292_34 282_19 254_07 253_30 132_13 225_25 066_43 334_19 241_04 1.00 13.12 F000.90 F001.20 F000.70 F000.15 R359.93 F000.02 R000.00 F000.05 359.95
2067-02-06 320_41 197_10 293_28 283_31 254_49 253_39 132_09 225_26 066_43 334_22 241_01 1.00 13.33 F000.95 F001.20 F000.65 F000.15 R359.92 F000.00 R000.00 F000.00 359.95
2067-02-07 321_41 210_30 294_25 284_43 255_28 253_48 132_04 225_26 066_43 334_22 240_58 1.00 13.55 F001.00 F001.22 F000.70 F000.12 R359.90 F000.03 R359.98 F000.05 359.95
2067-02-08 322_41 224_03 295_25 285_56 256_10 253_55 131_58 225_28 066_42 334_25 240_55 1.00 13.78 F001.05 F001.20 F000.68 F000.15 R359.93 F000.00 R000.00 F000.00 359.95
2067-02-09 323_41 237_50 296_28 287_08 256_51 254_04 131_54 225_28 066_42 334_25 240_52 1.00 14.07 F001.08 F001.22 F000.67 F000.15 R359.92 F000.00 R000.00 F000.05 359.93
2067-02-10 324_41 251_54 297_33 288_21 257_31 254_13 131_49 225_28 066_42 334_28 240_48 1.00 14.32 F001.12 F001.22 F000.67 F000.15 R359.93 F000.00 R000.00 F000.00 359.95
2067-02-11 325_41 266_13 298_40 289_34 258_11 254_22 131_45 225_28 066_42 334_28 240_45 1.00 14.55 F001.15 F001.20 F000.68 F000.13 R359.92 F000.00 R000.00 F000.05 359.93
2067-02-12 326_41 280_46 299_49 290_46 258_52 254_30 131_40 225_28 066_42 334_31 240_41 1.00 14.70 F001.18 F001.20 F000.70 F000.12 R359.92 F000.00 E000.00 F000.00 359.97
2067-02-13 327_41 295_28 301_00 291_58 259_34 254_37 131_35 225_28 066_42 334_31 240_39 1.00 14.75 F001.22 F001.20 F000.65 F000.15 R359.93 F000.00 F000.00 F000.05 359.93
2067-02-14 328_41 310_13 302_13 293_10 260_13 254_46 131_31 225_28 066_42 334_34 240_35 1.00 14.67 F001.25 F001.22 F000.70 F000.13 R359.92 F000.00 F000.00 F000.00 359.93
2067-02-15 329_41 324_53 303_28 294_23 260_55 254_54 131_26 225_28 066_42 334_34 240_31 1.00 14.47 F001.28 F001.22 F000.68 F000.12 R359.93 B000.00 F000.00 F000.05 359.95
2067-02-16 330_41 339_21 304_45 295_36 261_36 255_01 131_22 225_28 066_42 334_37 240_28 1.00 14.15 F001.32 F001.22 F000.67 F000.13 R359.93 R000.00 F000.00 F000.00 359.95
2067-02-17 331_41 353_30 306_04 296_49 262_16 255_09 131_18 225_28 066_42 334_37 240_25 0.98 13.72 F001.32 F001.20 F000.67 F000.12 R359.92 R000.00 F000.02 F000.05 359.95
2067-02-18 332_40 007_13 307_23 298_01 262_56 255_16 131_13 225_28 066_43 334_40 240_22 1.00 13.30 F001.38 F001.20 F000.68 F000.10 R359.95 R000.00 F000.00 F000.00 359.95
2067-02-19 333_40 020_31 308_46 299_13 263_37 255_22 131_10 225_28 066_43 334_40 240_19 1.00 12.87 F001.37 F001.22 F000.70 F000.15 R359.90 R000.00 F000.00 F000.05 359.95
