2089-03-02 347_53 246_39 005_37 312_21 100_20 202_33 029_38 314_46 115_30 357_37 173_45 1.00 11.95 F001.42 F000.32 F000.23 R359.92 F000.12 F000.05 R359.97 F000.02 359.93
2089-03-03 348_53 258_36 007_02 312_40 100_34 202_28 029_45 314_49 115_28 357_38 173_41 0.98 11.87 F001.37 F000.35 F000.20 R359.90 F000.12 F000.05 R000.00 F000.03 359.97
2089-03-04 349_52 270_28 008_24 313_01 100_46 202_22 029_52 314_52 115_28 357_40 173_39 1.00 11.90 F001.27 F000.37 F000.25 R359.90 F000.10 F000.05 R359.98 F000.00 359.92
2089-03-05 350_52 282_22 009_40 313_23 101_01 202_16 029_58 314_55 115_27 357_40 173_34 0.98 11.98 F001.15 F000.42 F000.23 R359.92 F000.10 F000.05 R359.97 F000.05 359.95
2089-03-06 351_51 294_21 010_49 313_48 101_15 202_11 030_04 314_58 115_25 357_43 173_31 0.97 12.12 F001.08 F000.42 F000.25 R359.90 F000.12 F000.05 R000.00 F000.00 359.95
2089-03-07 352_49 306_28 011_54 314_13 101_30 202_05 030_11 315_01 115_25 357_43 173_28 1.00 12.35 F000.97 F000.47 F000.27 R359.92 F000.12 F000.05 R000.00 F000.05 359.95
2089-03-08 353_49 318_49 012_52 314_41 101_46 202_00 030_18 315_04 115_25 357_46 173_25 0.98 12.55 F000.85 F000.50 F000.25 R359.90 F000.12 F000.05 R359.98 F000.00 359.95
2089-03-09 354_48 331_22 013_43 315_11 102_01 201_54 030_25 315_07 115_24 357_46 173_22 0.97 12.88 F000.78 F000.53 F000.27 R359.90 F000.10 F000.05 R359.97 F000.03 359.95
2089-03-10 355_46 344_15 014_30 315_43 102_17 201_48 030_31 315_10 115_22 357_48 173_19 1.00 13.12 F000.65 F000.53 F000.28 R359.88 F000.12 F000.02 R000.00 F000.02 359.95
2089-03-11 356_46 357_22 015_09 316_15 102_34 201_41 030_38 315_11 115_22 357_49 173_16 0.98 13.40 F000.52 F000.57 F000.27 R359.88 F000.13 F000.07 R000.00 F000.03 359.95
2089-03-12 357_45 010_46 015_40 316_49 102_50 201_34 030_46 315_15 115_22 357_51 173_13 0.97 13.67 F000.45 F000.57 F000.32 R359.90 F000.10 F000.05 R000.00 F000.02 359.95
2089-03-13 358_43 024_26 016_07 317_23 103_09 201_28 030_52 315_18 115_22 357_52 173_10 1.00 13.88 F000.30 F000.62 F000.30 R359.90 F000.13 F000.05 R359.97 F000.02 359.95
2089-03-14 359_43 038_19 016_25 318_00 103_27 201_22 031_00 315_21 115_20 357_53 173_07 0.98 14.03 F000.22 F000.62 F000.30 R359.90 F000.12 F000.02 R000.00 F000.03 359.95
2089-03-15 000_42 052_21 016_38 318_37 103_45 201_16 031_07 315_22 115_20 357_55 173_04 0.97 14.12 F000.12 F000.65 F000.32 R359.88 F000.10 F000.05 R359.98 F000.02 359.93
2089-03-16 001_40 066_28 016_45 319_16 104_04 201_09 031_13 315_25 115_19 357_56 173_00 0.97 14.20 B000.00 F000.65 F000.30 R359.87 F000.13 F000.05 R000.00 F000.03 359.93
2089-03-17 002_38 080_40 016_45 319_55 104_22 201_01 031_21 315_28 115_19 357_58 172_56 0.98 14.25 R359.92 F000.70 F000.35 R359.90 F000.12 F000.05 R000.00 F000.03 359.97
2089-03-18 003_37 094_55 016_40 320_37 104_43 200_55 031_28 315_31 115_19 358_00 172_54 0.97 14.20 R359.80 F000.70 F000.30 R359.88 F000.10 F000.05 R000.00 F000.02 359.93
2089-03-19 004_35 109_07 016_28 321_19 105_01 200_48 031_34 315_34 115_19 358_01 172_50 0.98 14.15 R359.70 F000.70 F000.35 R359.87 F000.15 F000.03 R359.97 F000.03 359.97
2089-03-20 005_34 123_16 016_10 322_01 105_22 200_40 031_43 315_36 115_17 358_03 172_48 1.00 14.03 R359.65 F000.75 F000.35 R359.90 F000.10 F000.03 R000.00 F000.02 359.95
2089-03-21 006_34 137_18 015_49 322_46 105_43 200_34 031_49 315_38 115_17 358_04 172_45 0.95 13.92 R359.55 F000.73 F000.35 R359.87 F000.12 F000.03 R000.00 F000.00 359.92
2089-03-22 007_31 151_13 015_22 323_30 106_04 200_26 031_56 315_40 115_17 358_04 172_40 1.00 13.72 R359.50 F000.77 F000.35 R359.88 F000.13 F000.05 R000.00 F000.05 359.95
2089-03-23 008_31 164_56 014_52 324_16 106_25 200_19 032_04 315_43 115_17 358_07 172_37 0.95 13.53 R359.43 F000.78 F000.35 R359.87 F000.13 F000.05 R359.98 F000.00 359.95
2089-03-24 009_28 178_28 014_18 325_03 106_46 200_11 032_12 315_46 115_16 358_07 172_34 1.00 13.30 R359.37 F000.77 F000.38 R359.88 F000.12 F000.03 R000.00 F000.05 359.95
2089-03-25 010_28 191_46 013_40 325_49 107_09 200_04 032_19 315_48 115_16 358_10 172_31 0.95 13.05 R359.35 F000.80 F000.37 R359.87 F000.13 F000.02 R000.00 F000.00 359.95
2089-03-26 011_25 204_49 013_01 326_37 107_31 199_56 032_27 315_49 115_16 358_10 172_28 0.98 12.77 R359.35 F000.82 F000.35 R359.88 F000.12 F000.05 R000.00 F000.02 359.95
2089-03-27 012_24 217_35 012_22 327_26 107_52 199_49 032_34 315_52 115_16 358_11 172_25 0.97 12.53 R359.32 F000.83 F000.40 R359.87 F000.13 F000.05 R000.00 F000.03 359.95
2089-03-28 013_22 230_07 011_41 328_16 108_16 199_41 032_42 315_55 115_16 358_13 172_22 0.97 12.30 R359.33 F000.85 F000.38 R359.88 F000.12 F000.02 R000.00 F000.03 359.95
2089-03-29 014_20 242_25 011_01 329_07 108_39 199_34 032_49 315_56 115_16 358_15 172_19 0.98 12.10 R359.35 F000.85 F000.37 R359.87 F000.13 F000.03 R000.00 F000.02 359.95
