1956-04-01 017_19 264_10 037_58 061_31 286_52 118_31 217_40 095_15 185_28 122_52 226_25 1.00 11.85 F001.07 F000.80 F000.63 F000.02 R359.95 F000.02 R000.00 R359.97 359.95
1956-04-02 018_19 276_01 039_02 062_19 287_30 118_32 217_37 095_16 185_28 122_50 226_22 0.95 11.90 F001.03 F000.75 F000.62 F000.05 R359.93 F000.02 R359.95 R000.00 359.95
1956-04-03 019_16 287_55 040_04 063_04 288_07 118_35 217_33 095_17 185_25 122_50 226_19 0.98 12.08 F000.90 F000.75 F000.63 F000.07 R359.92 F000.03 R359.98 R000.00 359.95
1956-04-04 020_15 300_00 040_58 063_49 288_45 118_39 217_28 095_19 185_24 122_50 226_16 0.97 12.27 F000.85 F000.75 F000.62 F000.05 R359.95 F000.02 R359.97 R000.00 359.95
1956-04-05 021_13 312_16 041_49 064_34 289_22 118_42 217_25 095_20 185_22 122_50 226_13 0.95 12.60 F000.75 F000.72 F000.60 F000.05 R359.90 F000.03 R359.97 R000.00 359.95
1956-04-06 022_10 324_52 042_34 065_17 289_58 118_45 217_19 095_22 185_20 122_50 226_10 0.97 12.90 F000.70 F000.72 F000.63 F000.07 R359.95 F000.03 R359.98 R000.00 359.95
1956-04-07 023_08 337_46 043_16 066_00 290_36 118_49 217_16 095_24 185_19 122_50 226_07 0.98 13.33 F000.58 F000.67 F000.62 F000.05 R359.92 F000.02 R359.98 E000.00 359.95
1956-04-08 024_07 351_06 043_51 066_40 291_13 118_52 217_11 095_25 185_18 122_50 226_04 0.95 13.67 F000.50 F000.67 F000.60 F000.05 R359.93 F000.05 R359.97 F000.00 359.95
1956-04-09 025_04 004_46 044_21 067_20 291_49 118_55 217_07 095_28 185_16 122_50 226_01 0.98 14.05 F000.42 F000.67 F000.62 F000.08 R359.93 F000.03 R359.98 F000.00 359.95
1956-04-10 026_03 018_49 044_46 068_00 292_26 119_00 217_03 095_30 185_15 122_50 225_58 0.97 14.30 F000.35 F000.62 F000.63 F000.07 R359.92 F000.02 R359.97 F000.00 359.93
1956-04-11 027_01 033_07 045_07 068_37 293_04 119_04 216_58 095_31 185_13 122_50 225_54 0.95 14.52 F000.25 F000.63 F000.60 F000.05 R359.95 F000.02 R359.97 F000.00 359.93
1956-04-12 027_58 047_38 045_22 069_15 293_40 119_07 216_55 095_32 185_11 122_50 225_50 0.97 14.63 F000.15 F000.57 F000.60 F000.10 R359.90 F000.03 R359.98 F000.00 359.97
1956-04-13 028_56 062_16 045_31 069_49 294_16 119_13 216_49 095_34 185_10 122_50 225_48 0.98 14.60 F000.10 F000.58 F000.60 F000.05 R359.95 F000.05 R359.98 F000.00 359.95
1956-04-14 029_55 076_52 045_37 070_24 294_52 119_16 216_46 095_37 185_09 122_50 225_45 0.95 14.55 B000.00 F000.55 F000.60 F000.10 R359.90 F000.03 R359.97 F000.03 359.93
