1942-03-19 005_15 043_07 003_37 319_01 062_31 055_55 034_30 035_28 154_40 100_25 138_04 0.97 11.90 F002.10 F001.00 F000.60 F000.18 F000.12 F000.05 R359.98 F000.00 359.95
1942-03-20 006_13 055_01 005_43 320_01 063_07 056_06 034_37 035_31 154_39 100_25 138_01 0.98 11.85 F002.15 F001.03 F000.63 F000.18 F000.10 F000.08 R359.97 F000.00 359.95
1942-03-21 007_12 066_52 007_52 321_03 063_45 056_17 034_43 035_36 154_37 100_25 137_58 0.97 11.88 F002.10 F001.02 F000.58 F000.18 F000.13 F000.03 R359.97 F000.00 359.95
1942-03-22 008_10 078_45 009_58 322_04 064_20 056_28 034_51 035_38 154_35 100_25 137_55 1.00 11.97 F002.15 F001.03 F000.63 F000.20 F000.12 F000.07 R359.98 F000.00 359.95
1942-03-23 009_10 090_43 012_07 323_06 064_58 056_40 034_58 035_42 154_34 100_25 137_52 0.95 12.15 F002.15 F001.02 F000.60 F000.20 F000.13 F000.05 R000.00 F000.00 359.95
1942-03-24 010_07 102_52 014_16 324_07 065_34 056_52 035_06 035_45 154_34 100_25 137_49 0.97 12.40 F002.12 F001.05 F000.60 F000.17 F000.12 F000.07 R359.95 F000.00 359.93
1942-03-25 011_05 115_16 016_23 325_10 066_10 057_02 035_13 035_49 154_31 100_25 137_45 0.98 12.73 F002.13 F001.05 F000.60 F000.22 F000.13 F000.05 R000.00 F000.00 359.93
1942-03-26 012_04 128_00 018_31 326_13 066_46 057_15 035_21 035_52 154_31 100_25 137_41 0.98 13.12 F002.12 F001.03 F000.63 F000.17 F000.12 F000.05 R359.98 F000.00 359.97
1942-03-27 013_03 141_07 020_38 327_15 067_24 057_25 035_28 035_55 154_30 100_25 137_39 0.97 13.60 F002.12 F001.05 F000.62 F000.20 F000.10 F000.05 R359.97 F000.03 359.93
1942-03-28 014_01 154_43 022_45 328_18 068_01 057_37 035_34 035_58 154_28 100_27 137_35 0.98 14.05 F002.07 F001.07 F000.60 F000.20 F000.15 F000.05 R000.00 F000.00 359.97
1942-03-29 015_00 168_46 024_49 329_22 068_37 057_49 035_43 036_01 154_28 100_27 137_33 0.97 14.50 F002.05 F001.05 F000.60 F000.20 F000.10 F000.05 R359.95 F000.00 359.92
1942-03-30 015_58 183_16 026_52 330_25 069_13 058_01 035_49 036_04 154_25 100_27 137_28 0.95 14.82 F002.02 F001.05 F000.60 F000.20 F000.15 F000.05 R000.00 F000.02 359.95
1942-04-01 016_55 198_05 028_53 331_28 069_49 058_13 035_58 036_07 154_25 100_28 137_25 0.97 15.07 F002.00 F001.08 F000.63 F000.20 F000.10 F000.08 R359.98 F000.00 359.95
1942-04-02 017_53 213_09 030_53 332_33 070_27 058_25 036_04 036_12 154_24 100_28 137_22 0.98 15.07 F001.93 F001.07 F000.62 F000.20 F000.15 F000.05 R359.97 F000.00 359.95
1942-04-03 018_52 228_13 032_49 333_37 071_04 058_37 036_13 036_15 154_22 100_28 137_19 0.98 14.97 F001.93 F001.05 F000.60 F000.20 F000.10 F000.03 R000.00 F000.00 359.95
1942-04-04 019_51 243_11 034_45 334_40 071_40 058_49 036_19 036_17 154_22 100_28 137_16 0.97 14.73 F001.85 F001.10 F000.60 F000.20 F000.15 F000.08 R359.97 F000.00 359.95
1942-04-05 020_49 257_55 036_36 335_46 072_16 059_01 036_28 036_22 154_20 100_28 137_13 0.95 14.35 F001.78 F001.05 F000.60 F000.20 F000.10 F000.05 R359.98 F000.03 359.95
