1918-02-24 339_49 120_04 350_37 297_40 147_46 043_37 105_09 303_07 101_43 070_43 243_58 1.00 11.90 F001.93 F000.65 R359.65 F000.17 R359.97 F000.05 R000.00 F000.00 359.95
1918-02-25 340_49 131_58 352_33 298_19 147_25 043_47 105_07 303_10 101_43 070_43 243_55 0.98 11.90 F001.92 F000.68 R359.65 F000.17 R359.95 F000.05 R359.98 F000.00 359.95
1918-02-26 341_48 143_52 354_28 299_00 147_04 043_57 105_04 303_13 101_42 070_43 243_52 1.00 11.85 F001.88 F000.67 R359.62 F000.17 R000.00 F000.03 R000.00 F000.00 359.95
1918-02-27 342_48 155_43 356_21 299_40 146_41 044_07 105_04 303_15 101_42 070_43 243_49 0.97 11.90 F001.82 F000.70 R359.65 F000.15 R359.95 F000.05 R359.97 F000.00 359.95
1918-02-28 343_46 167_37 358_10 300_22 146_20 044_16 105_01 303_18 101_40 070_43 243_46 1.00 11.95 F001.80 F000.75 R359.68 F000.18 R000.00 F000.05 R000.00 F000.00 359.95
1918-02-29 344_46 179_34 359_58 301_07 146_01 044_27 105_01 303_21 101_40 070_43 243_43 1.00 11.98 F001.73 F000.73 R359.65 F000.17 R359.98 F000.03 R000.00 F000.03 359.95
1918-02-30 345_46 191_33 001_42 301_51 145_40 044_37 105_00 303_23 101_40 070_45 243_40 0.98 12.07 F001.67 F000.75 R359.70 F000.15 R359.97 F000.05 R359.98 F000.00 359.95
1918-02-31 346_45 203_37 003_22 302_36 145_22 044_46 104_58 303_26 101_39 070_45 243_37 0.97 12.22 F001.58 F000.77 R359.68 F000.18 R000.00 F000.03 R000.00 F000.00 359.95
1918-03-01 347_43 215_50 004_57 303_22 145_03 044_57 104_58 303_28 101_39 070_45 243_34 1.00 12.42 F001.52 F000.77 R359.70 F000.17 R359.98 F000.05 R000.00 F000.02 359.93
1918-03-02 348_43 228_15 006_28 304_08 144_45 045_07 104_57 303_31 101_39 070_46 243_30 0.97 12.62 F001.45 F000.80 R359.68 F000.17 R359.97 F000.05 R359.97 F000.00 359.93
1918-03-03 349_41 240_52 007_55 304_56 144_26 045_17 104_55 303_34 101_37 070_46 243_26 1.00 12.93 F001.35 F000.83 R359.73 F000.18 R000.00 F000.05 R000.00 F000.00 359.97
1918-03-04 350_41 253_48 009_16 305_46 144_10 045_28 104_55 303_37 101_37 070_46 243_24 0.98 13.27 F001.25 F000.80 R359.73 F000.20 R000.00 F000.05 R000.00 F000.00 359.93
1918-03-05 351_40 267_04 010_31 306_34 143_54 045_40 104_55 303_40 101_37 070_46 243_20 1.00 13.70 F001.17 F000.85 R359.75 F000.15 R000.00 F000.05 R000.00 F000.00 359.97
1918-03-06 352_40 280_46 011_41 307_25 143_39 045_49 104_55 303_43 101_37 070_46 243_18 0.97 14.15 F001.08 F000.85 R359.75 F000.20 R359.98 F000.03 R000.00 F000.02 359.95
1918-03-07 353_38 294_55 012_46 308_16 143_24 046_01 104_54 303_45 101_37 070_47 243_15 0.98 14.60 F000.95 F000.85 R359.77 F000.18 R000.00 F000.05 R359.97 F000.00 359.92
1918-03-08 354_37 309_31 013_43 309_07 143_10 046_12 104_54 303_48 101_35 070_47 243_10 1.00 14.92 F000.87 F000.85 R359.75 F000.17 R000.00 F000.02 R000.00 F000.00 359.95
1918-03-09 355_37 324_26 014_35 309_58 142_55 046_22 104_54 303_49 101_35 070_47 243_07 0.98 15.18 F000.78 F000.90 R359.80 F000.20 E000.00 F000.05 R000.00 F000.03 359.95
1918-03-10 356_36 339_37 015_22 310_52 142_43 046_34 104_54 303_52 101_35 070_49 243_04 0.97 15.25 F000.65 F000.90 R359.80 F000.20 F000.00 F000.05 R000.00 F000.00 359.95
1918-03-11 357_34 354_52 016_01 311_46 142_31 046_46 104_54 303_55 101_35 070_49 243_01 0.98 15.13 F000.55 F000.87 R359.82 F000.18 F000.00 F000.02 R000.00 F000.00 359.95
1918-03-12 358_33 010_00 016_34 312_38 142_20 046_57 104_54 303_56 101_35 070_49 242_58 0.97 14.85 F000.45 F000.93 R359.83 F000.17 F000.02 F000.07 R000.00 F000.02 359.95
1918-03-13 359_31 024_51 017_01 313_34 142_10 047_07 104_55 304_00 101_35 070_50 242_55 1.00 14.42 F000.30 F000.90 R359.85 F000.20 F000.00 F000.02 R359.98 F000.00 359.95
1918-03-14 000_31 039_16 017_19 314_28 142_01 047_19 104_55 304_01 101_34 070_50 242_52 0.98 14.00 F000.25 F000.92 R359.85 F000.20 F000.00 F000.05 R000.00 F000.03 359.95
1918-03-15 001_30 053_16 017_34 315_23 141_52 047_31 104_55 304_04 101_34 070_52 242_49 0.97 13.48 F000.10 F000.93 R359.85 F000.20 F000.00 F000.03 E000.00 F000.00 359.95
1918-03-16 002_28 066_45 017_40 316_19 141_43 047_43 104_55 304_06 101_34 070_52 242_46 0.98 13.03 B000.02 F000.95 R359.90 F000.20 F000.03 F000.02 F000.00 F000.00 359.95
1918-03-17 003_27 079_47 017_41 317_16 141_37 047_55 104_57 304_07 101_34 070_52 242_43 0.97 12.67 R359.93 F000.95 R359.90 F000.20 F000.02 F000.05 F000.02 F000.03 359.95
1918-03-18 004_25 092_27 017_37 318_13 141_31 048_07 104_58 304_10 101_35 070_54 242_40 1.00 12.33 R359.80 F000.95 R359.90 F000.20 F000.00 F000.05 F000.00 F000.02 359.92
1918-03-19 005_25 104_47 017_25 319_10 141_25 048_19 104_58 304_13 101_35 070_55 242_35 0.95 12.13 R359.75 F000.97 R359.90 F000.20 F000.03 F000.03 F000.00 F000.00 359.97
1918-03-20 006_22 116_55 017_10 320_08 141_19 048_31 105_00 304_15 101_35 070_55 242_33 1.00 11.95 R359.63 F000.98 R359.95 F000.20 F000.02 F000.02 F000.00 F000.00 359.95
1918-03-21 007_22 128_52 016_48 321_07 141_16 048_43 105_01 304_16 101_35 070_55 242_30 0.95 11.90 R359.57 F000.98 R359.95 F000.20 F000.00 F000.05 F000.00 F000.03 359.93
1918-03-22 008_19 140_46 016_22 322_06 141_13 048_55 105_01 304_19 101_35 070_57 242_26 1.00 11.85 R359.50 F000.97 R359.95 F000.20 F000.05 F000.03 F000.00 F000.02 359.97
1918-03-23 009_19 152_37 015_52 323_04 141_10 049_07 105_04 304_21 101_35 070_58 242_24 0.95 11.88 R359.45 F001.00 R359.98 F000.20 F000.00 F000.02 F000.03 F000.00 359.93
1918-03-24 010_16 164_30 015_19 324_04 141_09 049_19 105_04 304_22 101_37 070_58 242_20 0.98 11.93 R359.40 F001.00 R359.97 F000.20 F000.05 F000.02 F000.00 F000.00 359.93
1918-03-25 011_15 176_26 014_43 325_04 141_07 049_31 105_07 304_23 101_37 070_58 242_16 0.97 12.03 R359.37 F001.00 E000.00 F000.20 F000.03 F000.03 F000.00 F000.03 359.95
1918-03-26 012_13 188_28 014_05 326_04 141_07 049_43 105_09 304_25 101_37 071_00 242_13 0.97 12.15 R359.35 F001.00 F000.03 F000.20 F000.02 F000.05 F000.00 F000.02 359.95
1918-03-27 013_11 200_37 013_26 327_04 141_09 049_55 105_10 304_28 101_37 071_01 242_10 0.98 12.28 R359.33 F001.00 F000.02 F000.22 F000.03 F000.03 F000.00 F000.00 359.95
1918-03-28 014_10 212_54 012_46 328_04 141_10 050_08 105_12 304_30 101_37 071_01 242_07 0.98 12.42 R359.35 F001.03 F000.02 F000.22 F000.02 F000.02 F000.00 F000.02 359.95
