1946-03-29 014_58 339_26 348_33 036_19 099_40 177_24 086_15 052_10 163_20 106_20 060_07 0.97 14.67 F001.25 F001.25 F000.45 R359.87 F000.07 F000.05 R359.98 F000.00 359.95
1946-03-30 015_56 354_06 349_48 037_34 100_07 177_16 086_19 052_13 163_19 106_20 060_04 0.98 14.97 F001.27 F001.20 F000.47 R359.90 F000.05 F000.05 R359.98 F000.00 359.95
1946-04-01 016_55 009_04 351_04 038_46 100_35 177_10 086_22 052_16 163_18 106_20 060_01 0.95 15.15 F001.32 F001.23 F000.48 R359.88 F000.08 F000.05 R359.97 F000.00 359.95
1946-04-02 017_52 024_13 352_23 040_00 101_04 177_03 086_27 052_19 163_16 106_20 059_58 0.98 15.15 F001.38 F001.22 F000.45 R359.87 F000.07 F000.05 R359.98 F000.03 359.95
1946-04-03 018_51 039_22 353_46 041_13 101_31 176_55 086_31 052_22 163_15 106_22 059_55 0.97 15.00 F001.40 F001.23 F000.50 R359.90 F000.07 F000.05 R359.97 F000.00 359.95
1946-04-04 019_49 054_22 355_10 042_27 102_01 176_49 086_35 052_25 163_13 106_22 059_52 0.98 14.72 F001.40 F001.22 F000.45 R359.90 F000.08 F000.05 R000.00 F000.00 359.92
1946-04-05 020_48 069_05 356_34 043_40 102_28 176_43 086_40 052_28 163_13 106_22 059_47 0.97 14.38 F001.48 F001.20 F000.50 R359.90 F000.10 F000.05 R359.97 F000.00 359.97
1946-04-06 021_46 083_28 358_03 044_52 102_58 176_37 086_46 052_31 163_11 106_22 059_45 0.95 13.95 F001.50 F001.23 F000.48 R359.88 F000.05 F000.05 R359.98 F000.00 359.95
1946-04-07 022_43 097_25 359_33 046_06 103_27 176_30 086_49 052_34 163_10 106_22 059_42 0.97 13.58 F001.55 F001.22 F000.47 R359.90 F000.10 F000.05 R359.98 F000.00 359.93
1946-04-08 023_41 111_00 001_06 047_19 103_55 176_24 086_55 052_37 163_09 106_22 059_38 0.98 13.22 F001.57 F001.20 F000.50 R359.90 F000.08 F000.05 R359.97 F000.03 359.97
1946-04-09 024_40 124_13 002_40 048_31 104_25 176_18 087_00 052_40 163_07 106_24 059_36 0.95 12.87 F001.60 F001.23 F000.48 R359.88 F000.07 F000.05 R000.00 F000.00 359.93
1946-04-10 025_37 137_05 004_16 049_45 104_54 176_11 087_04 052_43 163_07 106_24 059_32 0.98 12.60 F001.63 F001.22 F000.50 R359.90 F000.10 F000.05 R359.97 F000.02 359.93
1946-04-11 026_36 149_41 005_54 050_58 105_24 176_05 087_10 052_46 163_05 106_25 059_28 0.97 12.38 F001.67 F001.20 F000.47 R359.93 F000.08 F000.08 R359.98 F000.00 359.95
1946-04-12 027_34 162_04 007_34 052_10 105_52 176_01 087_15 052_51 163_04 106_25 059_25 0.95 12.20 F001.70 F001.22 F000.50 R359.90 F000.07 F000.03 R000.00 F000.00 359.95
1946-04-13 028_31 174_16 009_16 053_23 106_22 175_55 087_19 052_53 163_04 106_25 059_22 0.98 12.05 F001.73 F001.23 F000.50 R359.90 F000.10 F000.07 R359.98 F000.00 359.95
1946-04-14 029_30 186_19 011_00 054_37 106_52 175_49 087_25 052_57 163_03 106_25 059_19 0.97 11.95 F001.77 F001.20 F000.50 R359.90 F000.10 F000.07 R359.97 F000.03 359.95
1946-04-15 030_28 198_16 012_46 055_49 107_22 175_43 087_31 053_01 163_01 106_27 059_16 0.95 11.85 F001.80 F001.20 F000.50 R359.93 F000.07 F000.05 R000.00 F000.02 359.95
