1931-03-09 355_16 255_28 014_28 316_46 099_40 079_13 269_52 352_36 130_25 085_47 351_31 1.00 12.58 F001.05 F001.20 F000.30 F000.10 F000.05 F000.03 R000.00 F000.00 359.95
1931-03-10 356_16 268_03 015_31 317_58 099_58 079_19 269_55 352_38 130_25 085_47 351_28 0.98 12.27 F000.95 F001.17 F000.30 F000.10 F000.05 F000.08 R359.98 F000.00 359.95
1931-03-11 357_15 280_19 016_28 319_08 100_16 079_25 269_58 352_43 130_24 085_47 351_25 0.97 12.03 F000.88 F001.18 F000.32 F000.10 F000.03 F000.05 R359.97 F000.03 359.95
1931-03-12 358_13 292_21 017_21 320_19 100_35 079_31 270_00 352_46 130_22 085_49 351_22 0.97 11.87 F000.77 F001.20 F000.33 F000.10 F000.02 F000.05 R000.00 F000.00 359.95
1931-03-13 359_11 304_13 018_07 321_31 100_55 079_37 270_01 352_49 130_22 085_49 351_19 0.98 11.80 F000.65 F001.17 F000.30 F000.10 F000.05 F000.05 R359.97 F000.00 359.93
1931-03-14 000_10 316_01 018_46 322_41 101_13 079_43 270_04 352_52 130_20 085_49 351_15 1.00 11.80 F000.55 F001.20 F000.35 F000.12 F000.03 F000.05 R359.98 F000.00 359.93
1931-03-15 001_10 327_49 019_19 323_53 101_34 079_50 270_06 352_55 130_19 085_49 351_11 0.97 11.85 F000.45 F001.18 F000.35 F000.13 F000.02 F000.08 R000.00 F000.00 359.95
1931-03-16 002_08 339_40 019_46 325_04 101_55 079_58 270_07 353_00 130_19 085_49 351_08 0.98 11.90 F000.33 F001.20 F000.33 F000.10 F000.02 F000.05 R359.98 F000.00 359.97
1931-03-17 003_07 351_34 020_06 326_16 102_15 080_04 270_08 353_03 130_18 085_49 351_06 0.97 12.05 F000.25 F001.20 F000.33 F000.13 F000.03 F000.05 R359.97 F000.00 359.95
1931-03-18 004_05 003_37 020_21 327_28 102_35 080_12 270_10 353_06 130_16 085_49 351_03 0.98 12.22 F000.12 F001.17 F000.37 F000.12 F000.02 F000.07 R000.00 F000.02 359.95
1931-03-19 005_04 015_50 020_28 328_38 102_57 080_19 270_11 353_10 130_16 085_50 351_00 0.97 12.38 B000.03 F001.18 F000.37 F000.10 F000.03 F000.05 R000.00 F000.00 359.92
1931-03-20 006_02 028_13 020_30 329_49 103_19 080_25 270_13 353_13 130_16 085_50 350_55 0.98 12.60 R359.93 F001.20 F000.35 F000.15 F000.03 F000.05 R359.98 F000.03 359.95
1931-03-21 007_01 040_49 020_26 331_01 103_40 080_34 270_15 353_16 130_15 085_52 350_52 0.98 12.82 R359.83 F001.20 F000.37 F000.13 F000.02 F000.05 R359.97 F000.00 359.95
1931-03-22 008_00 053_38 020_16 332_13 104_02 080_42 270_16 353_19 130_13 085_52 350_49 0.97 13.08 R359.75 F001.20 F000.38 F000.12 F000.00 F000.05 R000.00 F000.00 359.95
