1947-03-29 014_43 118_40 357_10 341_31 350_03 211_28 099_24 056_16 165_34 107_52 040_46 0.97 13.80 F001.80 F001.20 F000.77 R359.90 F000.05 F000.05 R359.98 F000.00 359.95
1947-03-30 015_41 132_28 358_58 342_43 350_49 211_22 099_27 056_19 165_33 107_52 040_43 0.98 13.58 F001.80 F001.20 F000.75 R359.88 F000.05 F000.05 R359.97 F000.00 359.95
1947-04-01 016_40 146_03 000_46 343_55 351_34 211_15 099_30 056_22 165_31 107_52 040_40 0.97 13.37 F001.85 F001.20 F000.78 R359.87 F000.03 F000.05 R359.98 F000.00 359.95
1947-04-02 017_38 159_25 002_37 345_07 352_21 211_07 099_32 056_25 165_30 107_52 040_37 0.98 13.15 F001.88 F001.20 F000.77 R359.88 F000.05 F000.03 R359.97 F000.00 359.95
1947-04-03 018_37 172_34 004_30 346_19 353_07 211_00 099_35 056_27 165_28 107_52 040_34 0.95 12.93 F001.90 F001.20 F000.75 R359.87 F000.07 F000.05 R359.97 F000.00 359.95
1947-04-04 019_34 185_30 006_24 347_31 353_52 210_52 099_39 056_30 165_26 107_52 040_31 0.98 12.67 F001.92 F001.20 F000.77 R359.90 F000.05 F000.03 R359.98 F000.03 359.95
1947-04-05 020_33 198_10 008_19 348_43 354_38 210_46 099_42 056_32 165_25 107_54 040_28 0.97 12.48 F001.98 F001.20 F000.78 R359.85 F000.05 F000.08 R000.00 F000.00 359.95
1947-04-06 021_31 210_39 010_18 349_55 355_25 210_37 099_45 056_37 165_25 107_54 040_25 0.95 12.25 F001.97 F001.20 F000.75 R359.90 F000.07 F000.05 R359.98 F000.00 359.93
1947-04-07 022_28 222_54 012_16 351_07 356_10 210_31 099_49 056_40 165_24 107_54 040_21 0.97 12.07 F002.03 F001.20 F000.75 R359.85 F000.05 F000.05 R359.97 F000.02 359.93
1947-04-08 023_26 234_58 014_18 352_19 356_55 210_22 099_52 056_43 165_22 107_55 040_17 0.98 11.95 F002.05 F001.20 F000.77 R359.90 F000.05 F000.05 R359.97 F000.00 359.97
1947-04-09 024_25 246_55 016_21 353_31 357_41 210_16 099_55 056_46 165_20 107_55 040_15 0.95 11.85 F002.07 F001.20 F000.75 R359.85 F000.05 F000.05 R359.98 F000.00 359.95
1947-04-10 025_22 258_46 018_25 354_43 358_26 210_07 099_58 056_49 165_19 107_55 040_12 0.98 11.85 F002.10 F001.20 F000.78 R359.88 F000.07 F000.05 R000.00 F000.00 359.93
1947-04-11 026_21 270_37 020_31 355_55 359_13 210_00 100_02 056_52 165_19 107_55 040_08 0.97 11.88 F002.10 F001.20 F000.75 R359.87 F000.08 F000.05 R359.98 F000.00 359.97
1947-04-12 027_19 282_30 022_37 357_07 359_58 209_52 100_07 056_55 165_18 107_55 040_06 0.95 12.00 F002.15 F001.23 F000.75 R359.88 F000.05 F000.05 R359.97 F000.03 359.92
