2083-03-29 013_55 150_34 355_16 350_08 060_42 020_37 323_25 292_43 102_07 352_21 288_28 0.95 14.55 E359.95 F001.23 F000.62 F000.25 F000.10 F000.03 F000.00 F000.02 359.95
2083-03-30 014_52 165_07 355_13 351_22 061_19 020_52 323_31 292_45 102_07 352_22 288_25 0.97 14.95 F000.05 F001.20 F000.65 F000.23 F000.08 F000.02 F000.00 F000.02 359.95
2083-04-01 015_50 180_04 355_16 352_34 061_58 021_06 323_36 292_46 102_07 352_23 288_22 0.98 15.25 F000.15 F001.23 F000.63 F000.22 F000.07 F000.00 F000.03 F000.03 359.95
2083-04-02 016_49 195_19 355_25 353_48 062_36 021_19 323_40 292_46 102_09 352_25 288_19 0.98 15.30 F000.20 F001.22 F000.62 F000.25 F000.10 F000.03 F000.00 F000.00 359.95
2083-04-03 017_48 210_37 355_37 355_01 063_13 021_34 323_46 292_48 102_09 352_25 288_16 0.97 15.22 F000.27 F001.23 F000.65 F000.25 F000.10 F000.02 F000.02 F000.05 359.95
2083-04-04 018_46 225_50 355_53 356_15 063_52 021_49 323_52 292_49 102_10 352_28 288_13 0.95 14.98 F000.38 F001.22 F000.63 F000.23 F000.07 F000.00 F000.00 F000.00 359.95
2083-04-05 019_43 240_49 356_16 357_28 064_30 022_03 323_56 292_49 102_10 352_28 288_10 0.97 14.55 F000.42 F001.20 F000.62 F000.22 F000.08 F000.03 F000.00 F000.03 359.93
2083-04-06 020_41 255_22 356_41 358_40 065_07 022_16 324_01 292_51 102_10 352_30 288_06 0.98 14.10 F000.50 F001.25 F000.65 F000.25 F000.10 F000.02 F000.00 F000.02 359.95
2083-04-07 021_40 269_28 357_11 359_55 065_46 022_31 324_07 292_52 102_10 352_31 288_03 0.95 13.65 F000.58 F001.20 F000.63 F000.25 F000.07 F000.00 F000.03 F000.03 359.95
2083-04-08 022_37 283_07 357_46 001_07 066_24 022_46 324_11 292_52 102_12 352_33 288_00 1.00 13.25 F000.62 F001.23 F000.62 F000.23 F000.08 F000.00 F000.02 F000.02 359.93
2083-04-09 023_37 296_22 358_23 002_21 067_01 023_00 324_16 292_52 102_13 352_34 287_56 0.95 12.85 F000.72 F001.22 F000.65 F000.25 F000.10 F000.02 F000.00 F000.00 359.95
2083-04-10 024_34 309_13 359_06 003_34 067_40 023_15 324_22 292_53 102_13 352_34 287_53 0.98 12.55 F000.77 F001.22 F000.62 F000.22 F000.07 F000.00 F000.00 F000.05 359.97
2083-04-11 025_33 321_46 359_52 004_47 068_17 023_28 324_26 292_53 102_13 352_37 287_51 0.97 12.30 F000.80 F001.23 F000.63 F000.25 F000.08 F000.03 F000.03 F000.00 359.92
2083-04-12 026_31 334_04 000_40 006_01 068_55 023_43 324_31 292_55 102_15 352_37 287_46 0.95 12.15 F000.90 F001.20 F000.65 F000.22 F000.08 F000.00 F000.02 F000.02 359.95
2083-04-13 027_28 346_13 001_34 007_13 069_34 023_56 324_36 292_55 102_16 352_38 287_43 0.97 12.03 F000.90 F001.22 F000.63 F000.25 F000.07 F000.00 F000.00 F000.03 359.95
2083-04-14 028_26 358_15 002_28 008_26 070_12 024_11 324_40 292_55 102_16 352_40 287_40 0.95 11.92 F001.00 F001.23 F000.62 F000.23 F000.08 F000.00 F000.02 F000.00 359.95
2083-04-15 029_23 010_10 003_28 009_40 070_49 024_25 324_45 292_55 102_17 352_40 287_37 0.98 11.90 F001.03 F001.23 F000.65 F000.25 F000.07 F000.00 F000.00 F000.05 359.95
