1978-03-23 008_55 186_39 351_31 031_10 101_04 068_07 120_07 201_20 234_28 171_16 161_04 1.00 14.17 R359.85 F001.20 F000.40 F000.17 R359.97 R359.98 R000.00 R000.00 359.95
1978-03-24 009_55 200_49 351_22 032_22 101_28 068_17 120_05 201_19 234_28 171_16 161_01 0.95 14.40 R359.93 F001.23 F000.40 F000.18 R000.00 R359.95 R359.97 R359.95 359.95
1978-03-25 010_52 215_13 351_18 033_36 101_52 068_28 120_05 201_16 234_26 171_13 160_58 0.97 14.55 E000.02 F001.22 F000.42 F000.15 E000.00 R359.95 R359.98 R000.00 359.95
1978-03-26 011_50 229_46 351_19 034_49 102_17 068_37 120_05 201_13 234_25 171_13 160_55 0.98 14.57 F000.10 F001.22 F000.43 F000.17 F000.00 R359.95 R000.00 R359.95 359.95
1978-03-27 012_49 244_20 351_25 036_02 102_43 068_47 120_05 201_10 234_25 171_10 160_52 0.98 14.52 F000.18 F001.23 F000.43 F000.18 F000.00 R359.98 R359.98 R000.00 359.93
1978-03-28 013_48 258_51 351_36 037_16 103_09 068_58 120_05 201_09 234_24 171_10 160_48 0.97 14.33 F000.27 F001.20 F000.42 F000.18 F000.03 R359.93 R359.97 R359.95 359.95
1978-03-29 014_46 273_11 351_52 038_28 103_34 069_09 120_07 201_05 234_22 171_07 160_45 0.98 14.17 F000.32 F001.23 F000.43 F000.17 F000.00 R359.98 R359.97 R000.00 359.93
1978-03-30 015_45 287_21 352_11 039_42 104_00 069_19 120_07 201_04 234_20 171_07 160_41 0.97 13.92 F000.43 F001.22 F000.42 F000.18 F000.00 R359.95 R359.98 R359.95 359.97
1978-04-01 016_43 301_16 352_37 040_55 104_25 069_30 120_07 201_01 234_19 171_04 160_39 0.95 13.70 F000.48 F001.20 F000.45 F000.17 F000.00 R359.95 R000.00 R000.00 359.93
1978-04-02 017_40 314_58 353_06 042_07 104_52 069_40 120_07 200_58 234_19 171_04 160_35 0.97 13.47 F000.53 F001.23 F000.45 F000.17 F000.03 R359.95 R359.98 R359.95 359.97
1978-04-03 018_38 328_26 353_38 043_21 105_19 069_50 120_09 200_55 234_18 171_01 160_33 0.98 13.25 F000.63 F001.22 F000.45 F000.18 F000.02 R359.98 R359.97 R000.00 359.92
1978-04-04 019_37 341_41 354_16 044_34 105_46 070_01 120_10 200_54 234_16 171_01 160_28 0.98 13.03 F000.67 F001.20 F000.45 F000.20 F000.00 R359.93 R359.98 R359.95 359.95
1978-04-05 020_36 354_43 354_56 045_46 106_13 070_13 120_10 200_50 234_15 170_58 160_25 0.97 12.85 F000.73 F001.23 F000.45 F000.18 F000.03 R359.97 R359.97 R000.00 359.95
1978-04-06 021_34 007_34 355_40 047_00 106_40 070_24 120_12 200_48 234_13 170_58 160_22 0.95 12.65 F000.80 F001.22 F000.45 F000.17 F000.02 R359.97 R000.00 R359.97 359.95
1978-04-07 022_31 020_13 356_28 048_13 107_07 070_34 120_13 200_46 234_13 170_56 160_19 0.98 12.45 F000.88 F001.20 F000.45 F000.20 F000.00 R359.95 R359.95 R359.98 359.95
1978-04-08 023_30 032_40 357_21 049_25 107_34 070_46 120_13 200_43 234_10 170_55 160_16 0.97 12.30 F000.92 F001.22 F000.47 F000.18 F000.05 R359.95 R000.00 R359.98 359.95
1978-04-09 024_28 044_58 358_16 050_38 108_02 070_57 120_16 200_40 234_10 170_54 160_13 0.95 12.13 F000.95 F001.22 F000.48 F000.20 F000.00 R359.95 R359.98 R359.97 359.95
1978-04-10 025_25 057_06 359_13 051_51 108_31 071_09 120_16 200_37 234_09 170_52 160_10 0.97 11.97 F001.00 F001.22 F000.45 F000.17 F000.05 R359.97 R359.97 R359.97 359.95
1978-04-11 026_23 069_04 000_13 053_04 108_58 071_19 120_19 200_35 234_07 170_50 160_07 0.98 11.90 F001.08 F001.20 F000.48 F000.20 F000.02 R359.97 R359.97 R359.98 359.95
1978-04-12 027_22 080_58 001_18 054_16 109_27 071_31 120_20 200_33 234_05 170_49 160_04 0.95 11.87 F001.12 F001.20 F000.47 F000.20 F000.03 R359.97 R359.98 R000.00 359.95
1978-04-13 028_19 092_50 002_25 055_28 109_55 071_43 120_22 200_31 234_04 170_49 160_01 0.98 11.88 F001.15 F001.23 F000.48 F000.20 F000.03 R359.95 R359.98 R359.98 359.95
1978-04-14 029_18 104_43 003_34 056_42 110_24 071_55 120_24 200_28 234_03 170_48 159_58 0.97 12.00 F001.20 F001.18 F000.47 F000.17 F000.02 R359.95 R359.97 R359.97 359.93
1978-04-15 030_16 116_43 004_46 057_53 110_52 072_05 120_25 200_25 234_01 170_46 159_54 0.95 12.15 F001.23 F001.23 F000.50 F000.20 F000.05 R359.95 R359.98 R359.98 359.93
